code,image_file,object_type_raw,object_type,material_raw,material_group,integrity_raw,integrity,part_zone_raw,part_zone,label_is_missing_part_zone,label_is_missing_material,label_is_uncertain_object_type,label_is_uncertain_part_zone
М102-2012-2-0538,М102-2012-2-0538_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-0543,М102-2012-2-0543_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-2-1028,М102-2012-2-1028_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
М102-2012-2-1068,М102-2012-2-1068_orig.jpg,Плитка,плитка,Каменная масса,stoneware,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1086,М102-2012-2-1086_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-2-1095,М102-2012-2-1095_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-2-1121,М102-2012-2-1121_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1123,М102-2012-2-1123_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-2-1125,М102-2012-2-1125_orig.jpg,Крышка,крышка,Фарфор,porcelain,Фрагмент,fragment,lid,lid,False,False,False,False
М102-2012-2-1166,М102-2012-2-1166_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-2-1181,М102-2012-2-1181_orig.jpg,Плитка,плитка,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-2-1248,М102-2012-2-1248_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-2-1264,М102-2012-2-1264_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1265,М102-2012-2-1265_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1267,М102-2012-2-1267_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1271,М102-2012-2-1271_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-2-1279,М102-2012-2-1279_orig.jpg,Крышка,крышка,Стекло,glass,Фрагмент,fragment,lid,lid,False,False,False,False
М102-2012-2-1313,М102-2012-2-1313_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
М102-2012-2-1314,М102-2012-2-1314_orig.jpg,Крышка,крышка,Фарфор,porcelain,Фрагмент,fragment,lid,lid,False,False,False,False
М102-2012-2-1319,М102-2012-2-1319_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1327,М102-2012-2-1327_orig.jpg,Плитка,плитка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1359,М102-2012-2-1359_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1360,М102-2012-2-1360_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
М102-2012-2-1361,М102-2012-2-1361_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,profile,profile,False,False,False,False
М102-2012-2-1394,М102-2012-2-1394_orig.jpg,Крышка,крышка,Фаянс,faience,Целый,whole,lid,lid,False,False,False,False
М102-2012-2-1406,М102-2012-2-1406_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,unknown,unknown,True,False,False,False
М102-2012-2-1423,М102-2012-2-1423_orig.jpg,Миска (?),миска,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,True,False
Мич11-ш01-005,Мич11-ш01-005_orig.jpg,Плитка,плитка,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Мич11-ш01-029,Мич11-ш01-029_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Мич11-ш02-053,Мич11-ш02-053_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Мич11-ш02-057,Мич11-ш02-057_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Мич11-ш04-155,Мич11-ш04-155_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1247,БП11-Р01-Г01-1247_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г03-6493,БП11-Р01-Г03-6493_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1290,БП11-Р01-Г01-1290_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-Г01-1395,БП11-Р01-Г01-1395_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-тех-0069,БП11-Р01-тех-0069_orig.jpg,Крышка,крышка,Фаянс,faience,Целый,whole,lid,lid,False,False,False,False
БП11-Р01-тех-0468,БП11-Р01-тех-0468_orig.jpg,Крышка,крышка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-Г01-1137,БП11-Р01-Г01-1137_orig.jpg,Крышка,крышка,Керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
БП11-Р01-тех-0061,БП11-Р01-тех-0061_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1065,БП11-Р01-Г01-1065_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП11-Р01-Г01-1251,БП11-Р01-Г01-1251_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП11-Р01-Г03-3339,БП11-Р01-Г03-3339_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-0944,БП11-Р01-Г01-0944_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-Г03-3244,БП11-Р01-Г03-3244_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-тех-0443,БП11-Р01-тех-0443_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1315,БП11-Р01-Г01-1315_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-Г01-1055,БП11-Р01-Г01-1055_orig.jpg,Изразец,изразец,Керамика,ceramic,Целый,whole,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1397,БП11-Р01-Г01-1397_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-тех-0381,БП11-Р01-тех-0381_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-тех-0421,БП11-Р01-тех-0421_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-Г01-1405,БП11-Р01-Г01-1405_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-Г01-1192,БП11-Р01-Г01-1192_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1197,БП11-Р01-Г01-1197_orig.jpg,Крышка,крышка,Белый металл,metal,Фрагмент,fragment,lid,lid,False,False,False,False
БП11-Р01-Г01-1396,БП11-Р01-Г01-1396_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-Г01-1248,БП11-Р01-Г01-1248_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП11-Р01-тех-0060,БП11-Р01-тех-0060_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП11-Р01-Г01-1289,БП11-Р01-Г01-1289_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-Г03-6484,БП11-Р01-Г03-6484_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП11-Р01-тех-0394,БП11-Р01-тех-0394_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП11-Р01-Г03-6483,БП11-Р01-Г03-6483_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-151,Кроп-2013-151_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-152,Кроп-2013-152_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-155,Кроп-2013-155_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,rim,rim,False,False,False,False
Кроп-2013-158,Кроп-2013-158_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-159,Кроп-2013-159_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-163,Кроп-2013-163_orig.jpg,Крышка,крышка,Стекло,glass,Целый,whole,lid,lid,False,False,False,False
Кроп-2013-186,Кроп-2013-186_orig.jpg,Крышка,крышка,Фаянс,faience,Фрагмент,fragment,lid,lid,False,False,False,False
Кроп-2013-203,Кроп-2013-203_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-204,Кроп-2013-204_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Кроп-2013-218,Кроп-2013-218_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Кроп-2013-240,Кроп-2013-240_orig.jpg,Миска,миска,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-243,Кроп-2013-243_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-248,Кроп-2013-248_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-252,Кроп-2013-252_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-262,Кроп-2013-262_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-263,Кроп-2013-263_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-266,Кроп-2013-266_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-267,Кроп-2013-267_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-268,Кроп-2013-268_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-285,Кроп-2013-285_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-317,Кроп-2013-317_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-373,Кроп-2013-373_orig.jpg,Крышка,крышка,Керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
Кроп-2013-391,Кроп-2013-391_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-392,Кроп-2013-392_orig.jpg,Крышка,крышка,Фарфор,porcelain,Фрагмент,fragment,lid,lid,False,False,False,False
Кроп-2013-398,Кроп-2013-398_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-399,Кроп-2013-399_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-400,Кроп-2013-400_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-401,Кроп-2013-401_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-403,Кроп-2013-403_orig.jpg,Тарелка,тарелка,Фарфор,porcelain,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-414,Кроп-2013-414_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-415,Кроп-2013-415_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
Кроп-2013-421,Кроп-2013-421_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-422,Кроп-2013-422_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-430,Кроп-2013-430_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-478,Кроп-2013-478_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-481,Кроп-2013-481_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-482,Кроп-2013-482_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-484,Кроп-2013-484_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,base,base,False,False,False,False
Кроп-2013-Тр1-023,Кроп-2013-Тр1-023_orig.jpg,Плитка,плитка,Керамика,ceramic,Целый,whole,unknown,unknown,True,False,False,False
Кроп-2013-Тр2-032,Кроп-2013-Тр2-032_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Кроп-2013-Тр2-045,Кроп-2013-Тр2-045_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
Кроп-2013-Тр2-049,Кроп-2013-Тр2-049_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,profile,profile,False,False,False,False
Кроп-2013-Тр2-050,Кроп-2013-Тр2-050_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,profile,profile,False,False,False,False
Кроп-2013-Тр2-053,Кроп-2013-Тр2-053_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
Нев11-Г0-005,Нев11-Г0-005_orig.jpg,Плитка,плитка,"Основание - бетон, покрытие - композитный материал",other,Целый,whole,unknown,unknown,True,False,False,False
Нев11-Г0-006,Нев11-Г0-006_orig.jpg,Плитка,плитка,"Основание - бетон, покрытие - композитный материал",other,Целый,whole,unknown,unknown,True,False,False,False
Нев11-Г02-009,Нев11-Г02-009_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г02-010,Нев11-Г02-010_orig.jpg,Тарелка,тарелка,Белоглиняная керамика,ceramic,Фрагмент,fragment,base,base,False,False,False,False
Нев11-Г02-012,Нев11-Г02-012_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г02-021,Нев11-Г02-021_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г02-022,Нев11-Г02-022_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г02-023,Нев11-Г02-023_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г02-033,Нев11-Г02-033_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,base,base,False,False,False,False
Нев11-Г03-037,Нев11-Г03-037_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-038,Нев11-Г03-038_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-043,Нев11-Г03-043_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-044,Нев11-Г03-044_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-058,Нев11-Г03-058_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-096,Нев11-Г03-096_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-097,Нев11-Г03-097_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-178,Нев11-Г03-178_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г03-181,Нев11-Г03-181_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г04-182,Нев11-Г04-182_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г04-185,Нев11-Г04-185_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г04-187,Нев11-Г04-187_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-Г04-197,Нев11-Г04-197_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г04А-210,Нев11-Г04А-210_orig.jpg,Тарелка,тарелка,Керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г05-055,Нев11-Г05-055_orig.jpg,Крышка,крышка,Керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
Нев11-Г05-056,Нев11-Г05-056_orig.jpg,Крышка,крышка,Керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
Нев11-Г05-228,Нев11-Г05-228_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
Нев11-Г05-235,Нев11-Г05-235_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
Нев11-под-001,Нев11-под-001_orig.jpg,Плитка,плитка,Керамика,ceramic,Целый,whole,unknown,unknown,True,False,False,False
БП12-Г01-0726,БП12-Г01-0726_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП12-Г01-0732,БП12-Г01-0732_orig.jpg,Миска,миска,Красноглиняная керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-0767,БП12-Г01-0767_orig.jpg,Крышка,крышка,Фарфор,porcelain,Целый,whole,lid,lid,False,False,False,False
БП12-Г01-0774,БП12-Г01-0774_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-0783,БП12-Г01-0783_orig.jpg,Крышка,крышка,Фаянс,faience,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-0784,БП12-Г01-0784_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-0794,БП12-Г01-0794_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-0956,БП12-Г01-0956_orig.jpg,Миска,миска,Красноглиняная керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-1007,БП12-Г01-1007_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП12-Г01-1008,БП12-Г01-1008_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП12-Г01-1016,БП12-Г01-1016_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП12-Г01-1017,БП12-Г01-1017_orig.jpg,Крышка,крышка,Фаянс,faience,Фрагмент,fragment,rim,rim,False,False,False,False
БП12-Г01-1036,БП12-Г01-1036_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-1697,БП12-Г01-1697_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП12-Г01-1713,БП12-Г01-1713_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП12-Г01-1956,БП12-Г01-1956_orig.jpg,Изразец,изразец,Красноглиняная керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП12-Г01-1974,БП12-Г01-1974_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП12-Г01-1985,БП12-Г01-1985_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-2474,БП12-Г01-2474_orig.jpg,Крышка,крышка,Фаянс,faience,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-2475,БП12-Г01-2475_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-2476,БП12-Г01-2476_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3217,БП12-Г01-3217_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3218,БП12-Г01-3218_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-3220,БП12-Г01-3220_orig.jpg,Изразец,изразец,Керамика,ceramic,Фрагмент,fragment,unknown,unknown,True,False,False,False
БП12-Г01-3239,БП12-Г01-3239_orig.jpg,Миска,миска,Красноглиняная керамика,ceramic,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3414,БП12-Г01-3414_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3416,БП12-Г01-3416_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3461,БП12-Г01-3461_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,rim,rim,False,False,False,False
БП12-Г01-3462,БП12-Г01-3462_orig.jpg,Блюдце,блюдце,Фаянс,faience,Фрагмент,fragment,profile,profile,False,False,False,False
БП12-Г01-3511,БП12-Г01-3511_orig.jpg,Крышка,крышка,Красноглиняная керамика,ceramic,Фрагмент,fragment,lid,lid,False,False,False,False
БП12-Г01-3577,БП12-Г01-3577_orig.jpg,Тарелка,тарелка,Фаянс,faience,Фрагмент,fragment,base,base,False,False,False,False
БП12-Г01-4902,БП12-Г01-4902_orig.jpg,Блюдце,блюдце,Фарфор,porcelain,Фрагмент,fragment,profile,profile,False,False,False,False
